rank,player,team,position,age,tier,trend,rating
217,Irv Smith Jr.,CIN,TE24,25.0,Tier 22,19d,1725
218,Israel Abanikanda,NYJ,RB56,20.8,Tier 22,30d,1720
219,2023 Mid 3rd,,PICK,,Tier 22,2u,1711
220,Puka Nacua,LAR,WR84,22.1,Tier 22,5u,1698
221,Zach Evans,LAR,RB57,22.1,Tier 22,10d,1663
222,Josh Palmer,LAC,WR85,23.8,Tier 22,6u,1662
223,D'Onta Foreman,CHI,RB58,27.2,Tier 22,0,1652
224,Juwan Johnson,NOS,TE25,26.8,Tier 22,19d,1649
225,Tyler Higbee,LAR,TE26,30.6,Tier 22,5u,1634
226,Jerick McKinnon,KCC,RB59,31.2,Tier 22,12u,1634
227,2024 Mid 3rd,,PICK,,Tier 22,8u,1628
228,Tyquan Thornton,NEP,WR86,22.9,Tier 22,16d,1623
229,Hunter Renfrow,LVR,WR87,27.6,Tier 22,3d,1621
230,Noah Fant,SEA,TE27,25.7,Tier 22,3d,1613
231,Clyde Edwards-Helaire,KCC,RB60,24.3,Tier 22,5u,1604
232,Cade Otton,TBB,TE28,24.3,Tier 22,5u,1604
233,Chuba Hubbard,CAR,RB61,24.1,Tier 22,1d,1602
234,Jelani Woods,IND,TE29,24.8,Tier 22,10d,1598
235,Deuce Vaughn,DAL,RB62,21.7,Tier 22,5u,1594
236,Gerald Everett,LAC,TE30,29.1,Tier 22,3d,1568
237,Parris Campbell,NYG,WR88,26.0,Tier 22,20d,1564
238,Jake Ferguson,DAL,TE31,24.5,Tier 22,9d,1555
239,Daniel Bellinger,NYG,TE32,22.8,Tier 22,21d,1548
240,Mike Gesicki,NEP,TE33,27.8,Tier 22,18d,1527
241,Greg Dortch,ARI,WR89,25.1,Tier 22,4u,1522
242,2023 Late 3rd,,PICK,,Tier 22,2u,1494
243,Darius Slayton,NYG,WR90,26.5,Tier 22,9d,1469
244,Sean Tucker,TBB,RB63,21.7,Tier 22,5u,1467
245,Deon Jackson,IND,RB64,24.4,Tier 22,89u,1451
