name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Josh Jacobs,LV,RB,25.54532141416159,1326,5850,14073,3683,47,10,303
Kyler Murray,ARI,QB,26.060389904870625,3544,5849,14056,3639,48,15,-957
Kyle Pitts,ATL,TE,22.89326662341451,280,7553,15329,3574,49,3,-547
DK Metcalf,SEA,WR,25.706965246702183,5240,5846,14102,3533,50,16,-261
Drake London,ATL,WR,22.096006346778285,998,8112,15751,3509,51,17,-207
Jared Goff,DET,QB,28.876828264332826,8587,3163,12611,3463,52,16,565
2023 Pick 1.07,null,PICK,null,9989,DP_0_6,DP_0_6,3395,53,7,193
Jordan Love,GB,QB,24.82203374660705,3651,6804,14782,3367,54,17,528
Daniel Jones,NYG,QB,26.257650184994926,5,5870,14059,3363,55,18,-367
Derrick Henry,TEN,RB,29.652170732527903,5421,3198,12626,3252,56,11,-82
DJ Moore,CHI,WR,26.37545840366565,6110,4983,13635,3222,57,18,522
Travis Etienne,JAX,RB,24.589157031360983,3156,7543,15253,3221,58,12,-313
Jordan Addison,MIN,WR,21.583677576420598,9847,9756,UNK,3080,59,19,495
Kirk Cousins,MIN,QB,35.03299265068493,536,1166,10700,3056,60,19,189
Jerry Jeudy,DEN,WR,24.348061143994165,2427,6783,14833,3055,61,20,128
Rhamondre Stevenson,NE,RB,25.51244470253044,4294,7611,15259,3047,62,13,95
Javonte Williams,DEN,RB,23.342581682236176,6963,7588,15256,3044,63,14,735
Kenny Pickett,PIT,QB,25.230252924308726,5730,8160,15692,2969,64,20,412
Najee Harris,PIT,RB,25.474088537702944,7252,7528,15254,2963,65,15,-199
Kenneth Walker,SEA,RB,22.854910456050227,1749,8151,15711,2913,66,16,-851
2023 Pick 1.08,null,PICK,null,9990,DP_0_7,DP_0_7,2912,67,8,-17
Calvin Ridley,JAX,WR,28.693266622938864,41,4981,13629,2909,68,21,178
Russell Wilson,DEN,QB,34.75354059306824,8651,1234,10703,2860,69,21,159
Christian Watson,GB,WR,24.298746075088786,5981,8167,15789,2822,70,22,84
Deebo Samuel,SF,WR,27.622033746321666,2495,5872,14136,2777,71,23,-241
T.J. Hockenson,MIN,TE,26.156280321981228,8215,5844,14138,2749,72,4,-553
Geno Smith,SEA,QB,32.890526897291984,6305,1373,11150,2691,73,22,-181
2023 Pick 1.09,null,PICK,null,9991,DP_0_8,DP_0_8,2682,74,9,-18
2024 Round 1,null,PICK,null,9602,FP_2024_1,FP_2024_1,2664,75,10,52
Dameon Pierce,HOU,RB,23.523403606735158,919,8129,15717,2651,76,17,227
J.K. Dobbins,BAL,RB,24.6987460660515,5149,6806,14800,2587,77,18,232
Quentin Johnston,LAC,WR,21.97545840109716,9879,9754,UNK,2581,78,24,-240
George Pickens,PIT,WR,22.48504744492009,1436,8137,15762,2581,79,25,203
2023 Pick 1.10,null,PICK,null,9992,DP_0_9,DP_0_9,2560,80,11,56
Darren Waller,NYG,TE,30.961759770325976,4485,2505,12263,2556,81,5,784
Aaron Rodgers,NYJ,QB,39.750800869609336,715,96,7836,2555,82,23,-89
Dalton Kincaid,BUF,TE,23.86312963413242,9819,10236,UNK,2545,83,6,152
Jahan Dotson,WAS,WR,23.435732376807458,7169,8119,15755,2523,84,26,152
Terry McLaurin,WAS,WR,27.956280318968798,4864,5927,14109,2523,85,27,-231
Brandon Aiyuk,SF,WR,25.452170729547184,6429,6803,14840,2507,86,28,-47
James Cook,BUF,RB,23.92614333571157,182,8138,15715,2490,87,19,516
George Kittle,SF,TE,29.890526894438104,5709,4217,13299,2475,88,7,-408
Chris Godwin,TB,WR,27.50422552739726,2505,4037,13163,2474,89,29,-8
Joe Mixon,CIN,RB,27.098746072393457,4578,4018,13131,2435,90,20,87
Cam Akers,LAR,RB,24.18641730488965,2937,6938,14799,2415,91,21,366
Aaron Jones,GB,RB,28.742581688831812,2382,4199,13319,2412,92,22,154
2023 Pick 1.11,null,PICK,null,9993,DP_0_10,DP_0_10,2396,93,12,62
Zay Flowers,BAL,WR,22.961759770643074,9930,9997,UNK,2364,94,30,-47
D'Andre Swift,PHI,RB,24.622033746607052,1574,6790,14797,2355,95,23,7
Treylon Burks,TEN,WR,23.432992650399544,2373,8135,15752,2355,96,31,-103
Brock Purdy,SF,QB,23.671348812246322,5570,8183,15698,2354,97,24,220
Derek Carr,NO,QB,32.42751319609335,1954,2028,11644,2342,98,25,39
2023 Pick 1.12,null,PICK,null,9994,DP_0_11,DP_0_11,2284,99,13,98
Sam Howell,WAS,QB,22.94806114028412,8210,8162,15693,2268,100,26,115
Rachaad White,TB,RB,24.600115938451292,2187,8136,15721,2265,101,24,-69
Dallas Goedert,PHI,TE,28.654910458460172,5988,5022,13674,2248,102,8,99
Jameson Williams,DET,WR,22.42477346978057,1100,8148,15756,2244,103,32,-156
Amari Cooper,CLE,WR,29.202855664003046,2301,2309,12175,2197,104,33,-206
Marquise Brown,ARI,WR,26.235732374175544,3950,5848,14105,2130,106,34,-208
Diontae Johnson,PIT,WR,27.150800869482495,4373,5937,14208,2120,107,35,-47
Alvin Kamara,NO,RB,28.09874607179097,4144,4035,13132,2102,108,25,166
Christian Kirk,JAX,WR,26.778198127187977,8090,4950,13633,2079,109,36,-184
DeAndre Hopkins,TEN,WR,31.232992647038305,4681,1426,11232,2074,110,37,-151
2025 Round 1,null,PICK,null,9632,FP_2025_1,FP_2025_1,2069,111,15,-149
